№,sec,msec
1,32,392367
2,32,392367
3,32,392367
4,32,392367
5,32,392367
6,32,392367
7,32,392367
8,32,392367
9,32,392367
10,32,392367
11,32,392367
12,32,392367
13,32,392367
14,32,392367
15,32,392367
16,32,392367
17,32,392367
18,32,392367
19,32,392367
20,32,392367
21,32,392367
22,32,392367
23,32,392367
24,32,392367
25,32,392367
26,32,392367
27,32,392367
28,32,392367
29,32,392367
30,32,392367
31,32,392367
32,32,392367
33,32,392367
34,32,392367
35,32,392367
36,32,392367
37,32,392367
38,32,392367
39,32,392367
40,32,392367
41,32,392367
42,32,392367
43,32,392367
44,32,392367
45,32,392367
46,32,392367
47,32,392367
48,32,392367
49,32,392367
50,32,392367
51,32,392367
52,32,392367
53,32,392367
54,32,392367
55,32,392367
56,32,392367
57,32,392367
58,32,392367
59,32,392367
60,32,392367
61,32,392367
62,32,392367
63,32,392367
64,32,392367
65,32,392367
66,32,392367
67,32,392367
68,32,392367
69,32,392367
70,32,392367
71,32,392367
72,32,392367
73,32,392367
74,32,392367
75,32,392367
76,32,392367
77,32,392367
78,32,392367
79,32,392367
80,32,392367
81,32,392367
82,32,392367
83,32,392367
84,32,392367
85,32,392367
86,32,392367
87,32,392367
88,32,392367
89,32,392367
90,32,392367
91,32,392367
92,32,392367
93,32,392367
94,32,392367
95,32,392367
96,32,392367
97,32,392367
98,32,392367
99,32,392367
100,32,392367
101,32,392367
102,32,392367
103,32,392367
104,32,392367
105,32,392367
106,32,392367
107,32,392367
108,32,392367
109,32,392367
110,32,392367
111,32,392367
112,32,392367
113,32,392367
114,32,392367
115,32,392367
116,32,392367
117,32,392367
118,32,392367
119,32,392367
120,32,392367
121,32,392367
122,32,392367
123,32,392367
124,32,392367
125,32,392367
126,32,392367
127,32,392367
128,32,392367
129,32,392367
130,32,392367
131,32,392367
132,32,392367
133,32,392367
134,32,392367
135,32,392367
136,32,392367
137,32,392367
138,32,392367
139,32,392367
140,32,392367
141,32,392367
142,32,392367
143,32,392367
144,32,392367
145,32,392367
146,32,392367
147,32,392367
148,32,392367
149,32,392367
150,32,392367
151,32,392367
152,32,392367
153,32,392367
154,32,392367
155,32,392367
156,32,392367
157,32,392367
158,32,392367
159,32,392367
160,32,392367
161,32,392367
162,32,392367
163,32,392367
164,32,392367
165,32,392367
166,32,392367
167,32,392367
168,32,392367
169,32,392367
170,32,392367
171,32,392367
172,32,392367
173,32,392367
174,32,392367
175,32,392367
176,32,392367
177,32,392367
178,32,392367
179,32,392367
180,32,392367
181,32,392367
182,32,392367
183,32,392367
184,32,392367
185,32,392367
186,32,392367
187,32,392367
188,32,392367
189,32,392367
190,32,392367
191,32,392367
192,32,392367
193,32,392367
194,32,392367
195,32,392367
196,32,392367
197,32,392367
198,32,392367
199,32,392367
200,32,392367
201,32,392367
202,32,392367
203,32,392367
204,32,392367
205,32,392367
206,32,392367
207,32,392367
208,32,392367
209,32,392367
210,32,392367
211,32,392367
212,32,392367
213,32,392367
214,32,392367
215,32,392367
216,32,392367
217,32,392367
218,32,392367
219,32,392367
220,32,392367
221,32,392367
222,32,392367
223,32,392367
224,32,392367
225,32,392367
226,32,392367
227,32,392367
228,32,392367
229,32,392367
230,32,392367
231,32,392367
232,32,392367
233,32,392367
234,32,392367
235,32,392367
236,32,392367
237,32,392367
238,32,392367
239,32,392367
240,32,392367
241,32,392367
242,32,392367
243,32,392367
244,32,392367
245,32,392367
246,32,392367
247,32,392367
248,32,392367
249,32,392367
250,32,392367
251,32,392367
252,32,392367
253,32,392367
254,32,392367
255,32,392367
256,32,392367
257,32,392367
258,32,392367
259,32,392367
260,32,392367
261,32,392367
262,32,392367
263,32,392367
264,32,392367
265,32,392367
266,32,392367
267,32,392367
268,32,392367
269,32,392367
270,32,392367
271,32,392367
272,32,392367
273,32,392367
274,32,392367
275,32,392367
276,32,392367
277,32,392367
278,32,392367
279,32,392367
280,32,392367
281,32,392367
282,32,392367
283,32,392367
284,32,392367
285,32,392367
286,32,392367
287,32,392367
288,32,392367
289,32,392367
290,32,392367
291,32,392367
292,32,392367
293,32,392367
294,32,392367
295,32,392367
296,32,392367
297,32,392367
298,32,392367
299,32,392367
300,32,392367
